comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope
52270,917504,كليت عندهم كلش توب والله,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.158417,0,Appreciation,Appreciation,Appreciation,Appreciation,Appreciation,Appreciation,False
13421,655363,تجي عليك ديري مساج على حساب هدرتك نتع نقلشك,Facebook,Restaurant San Benito,2025-10-13T18:08:32.000Z,3,,,,,,,True
63908,262151,في مسرڨين كنت مليح مي دروك راك تغلي,tiktok,@silyon69,2026-01-02T21:33:16.602442,0,,,,,Complaint,,False
22772,262152,C’est cher ?,tiktok,@le_perchoir,2026-01-02T18:25:12.857954,0,,,,,Inquiry,,False
21298,262153,Comment un restaurant faire autant de mélange et faire des produits frais…. J ai un gros doute sur la fraîcheur de ses produits,tiktok,@triple_,2026-01-02T18:22:04.495506,0,Complaint,,,,,,False
43982,655367,انا حسبتها غالي بصح كي قلت فيها الخبز وقرعة لڨازوز هذيك هيا,tiktok,@dzforestrestaurants,2026-01-02T20:11:34.194225,1,,,,,Appreciation,,False
34864,786445,Ils font la livraison Svp ?,tiktok,@sinai,2026-01-02T19:27:59.300958,2,,,,Inquiry,,,False
2723,393229,"Très bon, très propre avec un service à la hauteur, je recommande",Google Maps,HichamCook Grill House,2023-05-20T04:29:32.079Z,2,Appreciation,Appreciation,Recommendation,,,,False
23920,655375,تالياتال (تالياتيلي) خويا ماشي تاڤلياتال الله يحفظك ، ما ننطقوش G فاللغة الايطالية، مدينة Cagliari نقولو كالياري ماشي كاڤلياري,tiktok,@spotter.dz,2026-01-02T18:27:19.819364,77,,,,,,,True
42388,786453,سر راه في بلاكة لي يطيب عليها مشي كيما المقلة,tiktok,@street_food,2026-01-02T19:58:06.183270,0,,,,,,,True
4106,131095,"Le goût n'était pas exceptionnel, et pour le prix, je m'attendais à mieux. Je trouve que c'est un peu cher pour ce que c'est.",Google Maps,هشام كوك بيتزا,2025-02-23T13:15:21.833Z,0,Complaint,,,,Complaint,,False
43678,524319,خردة الإسم فقط أرواح عندنا تفهم معنى قلب اللوز,tiktok,@serir_alger,2026-01-02T20:09:41.329590,0,Complaint,,,,,,False
11867,262178,وين جاء عمي حسان,Facebook,Restaurant San Benito,2025-09-04T23:19:53.000Z,0,,,Inquiry,,,,False
6145,393251,Alors pour casbah de garden j bien aimé c spacieux on est alaise décor j adoré. on a pris ds thé café un ketmer et une kounafa. j bien aimé cete bon,Google Maps,Casbah istanbul,2023-08-09T20:25:41.307Z,0,,Appreciation,Appreciation,,Appreciation,,False
69172,262183,مصطفي الزعيم [APPRECIATION],tiktok,@cote_oran,2026-01-02T21:57:46.739297,0,,,,,,,True
69502,524327,Gustavo Fring si il était algérien,tiktok,@cote_oran,2026-01-02T21:57:59.950470,1,,,,,,,True
3665,393258,"Serveuse aimable, nourriture et boisson excellentes. Je Vous recommande si vous passez à Alger.",Google Maps,Laurel Restaurant,2025-06-20T21:03:10.582Z,0,,Appreciation,Appreciation,,Appreciation,,False
64180,786475,على قداه تقفلو,tiktok,@lepalace1,2026-01-02T21:34:27.784949,1,,,Inquiry,,,,False
9872,655409,يوسف ابو معاذ هذي علا سوما خمس الاف,Facebook,Dz Forest Restaura,2025-10-12T23:03:09.000Z,0,,,,,,,True
31568,655419,هاتف من فضلك,tiktok,@woodgrill_dz,2026-01-02T19:13:55.381407,0,,,Inquiry,Inquiry,,,False
52950,917571,monsieur mille feuilles le meilleur,tiktok,@patisserie_annaba,2026-01-02T21:04:18.982321,0,,,Appreciation,,,,False
49658,524361,واين بلاصة نروحو ليه  [APPRECIATION],tiktok,@kik.sfood21,2026-01-02T20:41:17.789227,1,,,Inquiry,,,,False
20818,131150,جازت شابة معا نفطال,tiktok,@amineh351,2026-01-02T18:20:48.456155,0,,,Appreciation,,,,False
28910,786514,wach Kayen f la vidéo machi kima f la réalité sa n'a rien à voir,tiktok,@snacky_time_kouba,2026-01-02T18:47:52.389965,0,Complaint,,Complaint,,,,False
11016,786517,شغل نتغدى في القبر اسمحلي,Facebook,Restaurant Casa Bella - Draria,2025-08-27T01:05:48.000Z,0,,,Complaint,,,,False
57206,393302,كليت عندو ف اليوم الثاني كي فتح الله يبارك القائمين عل المطعم معاملة شابة ربي يوفقهم,tiktok,@_le216_,2026-01-02T21:17:18.845043,1,Appreciation,Appreciation,Appreciation,,,,False
40702,393306,وين المحل عنابة,tiktok,@askim_food,2026-01-02T19:49:11.498589,0,,,Inquiry,,,,False
3479,786524,"Un bon restaurant une bonne ambiance, pour le parking au dîner ça marche on peut stationné dans la rue didouch par contre pour le déjeuner il faut chercher un parking",Google Maps,Caracoya,2022-11-15T06:09:38.895Z,1,Appreciation,Appreciation,Appreciation,,,,False
6094,786526,"Les poivres et les tomates ne sont pas épluchés, le humus et le burghul sont les pires que j'ai mangé de ma vie, seuls les ailes de poulets à la braise étaient bons. Et pour finir, nous avions demandé kunafa pour la fin de notre repas, donc quand nous avions finis de manger le serveur vient et nous demande "" l kunafa njibouha Wella c'est bon makalah "".",Google Maps,Casbah Istanbul,2023-07-20T11:34:38.538Z,1,Complaint,Complaint,,,,Complaint,False
9144,131168,Anoir La Coupole مغارة نزع السروال,Facebook,"

Restaurant Casa Bella - Draria",2025-12-02T19:03:45.000Z,15,,,,,,,True
11549,786534,Poisson congelé يبعبع 1500DA نشري بيهم زوج ججات و ندير مرميطة طعام باللفت و القرعة احسن من الكونجلي و الزيت الفايح.,Facebook,Restaurant San Benito,2025-08-31T16:06:56.000Z,0,,,,,Complaint,,False
3850,524391,Je vous déconseille cette pâtisserie j’ai commandé un gâteau d’anniversaire pour 16 personnes il était tout petit et les vendeuses sont désagréables. Une arnaque.,Google Maps,L’Alchimiste Pâtisserie,2025-04-05T15:19:31.870Z,0,Complaint,Complaint,Complaint,,Complaint,,False
31834,262259,واو ما شاء الله  كلاس وتحفة  [APPRECIATION],tiktok,@entracte,2026-01-02T19:14:24.440189,1,,,Appreciation,,,,False
16386,655476,تخدمو بالجمعة,tiktok,@soltane.el.kababe,2026-01-02T18:08:23.862095,1,,,Inquiry,,,,False
12424,917622,مطعم الرايس - Restaurant Rais تمنيك. ليزابا كبدة نتاع دجاج حاسبين ربها كبدا تاع خروف,Facebook,Restaurant Rais,2025-10-13T13:41:14.000Z,2,Complaint,,,,,,False
2508,393334,مطعم ممتاز,Google Maps,HichamCook Grill House,2024-05-13T12:09:16.279Z,0,,,Appreciation,,,,False
24612,786552,C’est ou svp ?,tiktok,@laturquoisehotel,2026-01-02T18:30:17.426525,7,,,Inquiry,,,,False
3867,393337,Le brownie est à tomber par terre mais le croissant roll pistache la crème à l'intérieur n'est pas à mon goût.,Google Maps,L’Alchimiste Pâtisserie,2024-10-14T19:03:38.800Z,0,Complaint,Complaint,,,,,False
19290,786556,بزاف غاليين في العاصمة,tiktok,@helena,2026-01-02T18:16:34.501898,0,,,,,Complaint,,False
27896,786557,Je suis de Mascara et j’aime beaucoup la cuisine de la région kabyle.,tiktok,@thala,2026-01-02T18:45:07.903343,0,,,,,,,True
5594,262292,food is not that great tbh. and the waiter was not the nicest waiter to say the least,Google Maps,Casbah Istanbul القصبة اسطنبول,2023-03-17T15:48:44.098Z,0,Complaint,Complaint,,,,,False
36914,262298,walh walh ar des très bonnes prix sincèrement kn ts3it la salle familiale agema aki3in Rabi Bon courage  [APPRECIATION],tiktok,@restaurant.madala,2026-01-02T19:34:41.737915,1,,,Appreciation,,Appreciation,,False
71856,262308,Avant j étais un restaurant ?,tiktok,@amine.lacantine,2026-01-02T22:11:32.919558,0,,,,,,,True
35340,917680,bonne courage la famille  [APPRECIATION],tiktok,@sinai,2026-01-02T19:28:10.268752,0,,,,,,,True
22762,655540,بصحتك اختي والله راحة,tiktok,@le_perchoir,2026-01-02T18:25:12.857941,0,,,,,,,True
59822,917686,restaurant très cher,tiktok,@oscar_restaurant,2026-01-02T21:22:02.085775,2,,,,,Complaint,,False
27204,786640,"Bonjour l'équipes, merci pour votre accueil et de votre gentillesse  [APPRECIATION]",tiktok,@ambiance_telemcen,2026-01-02T18:41:26.498583,1,,,Appreciation,,,Appreciation,False
73204,786642,ايواك امحند تحية لسي محند,tiktok,@pont_hydra,2026-01-02T22:13:49.961571,0,,,,,,,True
10050,786644,Abdou Mezaguer ن حتشون يماك القحبة مديرو في مك وتمسح فيك يا ديوث,Facebook,Dz Forest Restaura,2025-10-13T11:38:55.000Z,0,,,,,,,True
44558,393430,هدي عدنا ف وهران تجيك. فوق مليون . هنا طغاو,tiktok,@dzforestrestaurants,2026-01-02T20:11:56.278214,0,,,,,Complaint,,False
55222,655578,60 alf [INQUIRY],tiktok,@askim_food,2026-01-02T21:13:24.963569,1,,,,,Inquiry,,False
67962,393437,المكان واين,tiktok,@meatlove5,2026-01-02T21:54:10.911658,0,,,Inquiry,,,,False
23442,131299,thablo wallah chakira c vs qu'elle mérite ds sa vie car j'ai passé mon anfance avc elle fel port samir t3ich ndjiblak radjli t3almo yachtah car karita lol,tiktok,@moonzrestaurant,2026-01-02T18:25:44.360452,1,,,,,,,True
35862,262372,bonsoir à vous tous s'il vous plaît se trouve où ce restaurant moi je suis à Paris merci,tiktok,@sinai,2026-01-02T19:28:28.070703,0,,,Inquiry,,,,False
10516,655599,خليل رحماني هذاك حشاهالكم,Facebook,Dz Forest Restaura,2025-10-13T07:39:00.000Z,0,,,,,,,True
50264,262384,bon courage  [APPRECIATION],tiktok,@chapati_team,2026-01-02T20:59:01.076979,0,,,,,,,True
3572,655607,"Très bon accueil, bon service juste un peu d’attente pour les plats",Google Maps,Laurel Restaurant,2025-12-17T20:29:11.639Z,0,,Complaint,Appreciation,,,Appreciation,False
28196,524536,الصوت عجبني,tiktok,@amine.lacantine,2026-01-02T18:45:40.891364,0,,,,,,,True
65136,917752,une soupe dans une bouteille en plastique de preference en verre vous l achetetr a usine verre algerien a bas prix [PRICE],tiktok,@restaurant_marisco,2026-01-02T21:40:04.468117,1,Complaint,,Complaint,,Complaint,,False
31134,655611,Un des meilleurs fast food que j’ai testé dans toute ma vie [APPRECIATION],tiktok,@taylor,2026-01-02T19:10:46.080508,2,Appreciation,,,,,,False
3283,262398,On est jamais déçu,Google Maps,تاج محل بن عكنون,2018-08-10T10:53:20.698Z,1,Appreciation,,Appreciation,,,,False
5468,655615,"The experience was fantastic for the kids! They absolutely loved it and had a blast. One of the highlights was the diverse range of food options available, which they thoroughly enjoyed.",Google Maps,قصبة اسطنبول,2023-08-10T08:02:35.496Z,0,Appreciation,,Appreciation,,,Appreciation,False
66084,917762,انفوتها فالدار ساهلة ماهلة,tiktok,@restaurant_mani,2026-01-02T21:47:15.239275,0,,,,,,,True
4746,786696,"vous êtes au top tout est bon je recommande votre pizza est magnifique ainsi que les tacoss , et rien a dire du sevice qui est au top aussi",Google Maps,Hicham cook pizza pasta,2023-05-15T21:41:54.873Z,2,Appreciation,Appreciation,Appreciation,,Appreciation,Appreciation,False
62106,262409,Vous êtes overt?,tiktok,@le.rooftop.annaba,2026-01-02T21:27:50.233220,2,,,Inquiry,Inquiry,,,False
4333,917777,ماشاء الله هشام كوك غني عن المدح جو روعة وأكل أروع والتنظيم اروع واروع,Google Maps,هشام كوك بيتزا,2024-05-24T16:01:12.634Z,0,Appreciation,Appreciation,Appreciation,,,Appreciation,False
42140,524563,علابيها يقلك خامج و بنين,tiktok,@street_food,2026-01-02T19:58:01.090646,0,,,,,,,True
19478,131350,500 الف 5 دجاجات تاكل وتتمتع صديقي,tiktok,@sultan,2026-01-02T18:17:12.034375,1,,,,,Complaint,,False
15554,524575,كنت تما كون غير قلتلي  [APPRECIATION],tiktok,@mardoum,2026-01-02T18:07:49.011713,0,,,,,,,True
53732,655650,جربتو هههه خاصة الملفوف بنة بنة  [APPRECIATION] [RECOMMENDATION],tiktok,@guellil._.tasnim,2026-01-02T21:08:11.755072,2,Appreciation,,,,,,False
26712,917795,تكون خلصت مليون كي والو,tiktok,@labelladalger16,2026-01-02T18:37:04.993566,0,,,,,Complaint,,False
5947,131368,Un peu cher mais ça reste un bon,Google Maps,Casbah Istanbul,2024-10-12T10:40:50.641Z,0,Appreciation,,,,Complaint,,False
12006,262443,هاذو قاع 1500 دج مليحة الحق و الحق اقول,Facebook,Restaurant San Benito,2025-10-13T12:50:41.000Z,0,,,,,Appreciation,,False
3310,131372,"Valeur la plus sûre, meilleure rapport qualité prix",Google Maps,تاج محل بن عكنون,2017-12-26T20:35:48.464Z,1,Appreciation,,Appreciation,,Appreciation,,False
42248,917810,على خطراش هذا تخلصي ونتع الدار باطل,tiktok,@street_food,2026-01-02T19:58:03.681384,0,,,,,,,True
68664,655667,"Je suis venu dans ce restaurant, et je vous conseille le plat aux poulpes épicé, un régal !",tiktok,@cote_oran,2026-01-02T21:57:29.419279,5,Appreciation,,Appreciation,,,,False
72370,131384,un délice moi je kiffff  [APPRECIATION],tiktok,@pont_hydra,2026-01-02T22:13:21.460820,1,Appreciation,,,,,,False
17940,524602,Non c’est pas chère,tiktok,@casabelladraria,2026-01-02T18:14:49.421950,0,,,,,Appreciation,,False
7561,917818,"Expérience décevante. Je déconseille fortement, notamment en ce qui concerne l'accueil et l'organisation, c'est le chaos total.",Google Maps,Restaurant À Petit Feu,2024-03-08T21:27:52.435Z,2,,Complaint,Complaint,,,Complaint,False
34600,131387,je trouve que c est trop de viande pour une seule personne,tiktok,@le_carre_restaurant,2026-01-02T19:24:34.186917,4,Complaint,,,,,,False
48624,262466,وين ولاية ؟,tiktok,@otsy.burger,2026-01-02T20:35:48.188228,0,,,Inquiry,,,,False
7692,262471,Vraiment chui déçu nos le sandwich khlitou mkemltouch mayentkelch w le cheese grave hlouu ! W l7am mhoich Tayeb w fih arrière goût !,Google Maps,American Burger Factory,2025-04-18T00:09:45.922Z,0,Complaint,,,,,,False
73186,262478,طريقة الي قدموها يخليك تاكل,tiktok,@pont_hydra,2026-01-02T22:13:49.131781,0,Appreciation,,,,,,False
