final_id,comment_text,comment_id,platform,source_name,date,likesCount,food_appreciation,food_complaint,food_recommendation,food_inquiry,service_appreciation,service_complaint,service_recommendation,service_inquiry,place_appreciation,place_complaint,place_recommendation,place_inquiry,delivery_appreciation,delivery_complaint,delivery_recommendation,delivery_inquiry,price_appreciation,price_complaint,price_recommendation,price_inquiry,treatment_appreciation,treatment_complaint,treatment_recommendation,treatment_inquiry,out_of_scope
917504,كليت عندهم كلش توب والله,52270,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.158417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655363,تجي عليك ديري مساج على حساب هدرتك نتع نقلشك,13421,Facebook,Restaurant San Benito,2025-10-13T18:08:32.000Z,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
262151,في مسرڨين كنت مليح مي دروك راك تغلي,63908,tiktok,@silyon69,2026-01-02T21:33:16.602442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262152,C’est cher ?,22772,tiktok,@le_perchoir,2026-01-02T18:25:12.857954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262153,Comment un restaurant faire autant de mélange et faire des produits frais…. J ai un gros doute sur la fraîcheur de ses produits,21298,tiktok,@triple_,2026-01-02T18:22:04.495506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655367,انا حسبتها غالي بصح كي قلت فيها الخبز وقرعة لڨازوز هذيك هيا,43982,tiktok,@dzforestrestaurants,2026-01-02T20:11:34.194225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786445,Ils font la livraison Svp ?,34864,tiktok,@sinai,2026-01-02T19:27:59.300958,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393229,"Très bon, très propre avec un service à la hauteur, je recommande",2723,Google Maps,HichamCook Grill House,2023-05-20T04:29:32.079Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655375,تالياتال (تالياتيلي) خويا ماشي تاڤلياتال الله يحفظك ، ما ننطقوش G فاللغة الايطالية، مدينة Cagliari نقولو كالياري ماشي كاڤلياري,23920,tiktok,@spotter.dz,2026-01-02T18:27:19.819364,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
786453,سر راه في بلاكة لي يطيب عليها مشي كيما المقلة,42388,tiktok,@street_food,2026-01-02T19:58:06.183270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131095,"Le goût n'était pas exceptionnel, et pour le prix, je m'attendais à mieux. Je trouve que c'est un peu cher pour ce que c'est.",4106,Google Maps,هشام كوك بيتزا,2025-02-23T13:15:21.833Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524319,خردة الإسم فقط أرواح عندنا تفهم معنى قلب اللوز,43678,tiktok,@serir_alger,2026-01-02T20:09:41.329590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262178,وين جاء عمي حسان,11867,Facebook,Restaurant San Benito,2025-09-04T23:19:53.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393251,Alors pour casbah de garden j bien aimé c spacieux on est alaise décor j adoré. on a pris ds thé café un ketmer et une kounafa. j bien aimé cete bon,6145,Google Maps,Casbah istanbul,2023-08-09T20:25:41.307Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262183,مصطفي الزعيم [APPRECIATION],69172,tiktok,@cote_oran,2026-01-02T21:57:46.739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
524327,Gustavo Fring si il était algérien,69502,tiktok,@cote_oran,2026-01-02T21:57:59.950470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
393258,"Serveuse aimable, nourriture et boisson excellentes. Je Vous recommande si vous passez à Alger.",3665,Google Maps,Laurel Restaurant,2025-06-20T21:03:10.582Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786475,على قداه تقفلو,64180,tiktok,@lepalace1,2026-01-02T21:34:27.784949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655409,يوسف ابو معاذ هذي علا سوما خمس الاف,9872,Facebook,Dz Forest Restaura,2025-10-12T23:03:09.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
655419,هاتف من فضلك,31568,tiktok,@woodgrill_dz,2026-01-02T19:13:55.381407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917571,monsieur mille feuilles le meilleur,52950,tiktok,@patisserie_annaba,2026-01-02T21:04:18.982321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524361,واين بلاصة نروحو ليه  [APPRECIATION],49658,tiktok,@kik.sfood21,2026-01-02T20:41:17.789227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131150,جازت شابة معا نفطال,20818,tiktok,@amineh351,2026-01-02T18:20:48.456155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786514,wach Kayen f la vidéo machi kima f la réalité sa n'a rien à voir,28910,tiktok,@snacky_time_kouba,2026-01-02T18:47:52.389965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786517,شغل نتغدى في القبر اسمحلي,11016,Facebook,Restaurant Casa Bella - Draria,2025-08-27T01:05:48.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393302,كليت عندو ف اليوم الثاني كي فتح الله يبارك القائمين عل المطعم معاملة شابة ربي يوفقهم,57206,tiktok,@_le216_,2026-01-02T21:17:18.845043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393306,وين المحل عنابة,40702,tiktok,@askim_food,2026-01-02T19:49:11.498589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786524,"Un bon restaurant une bonne ambiance, pour le parking au dîner ça marche on peut stationné dans la rue didouch par contre pour le déjeuner il faut chercher un parking",3479,Google Maps,Caracoya,2022-11-15T06:09:38.895Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786526,"Les poivres et les tomates ne sont pas épluchés, le humus et le burghul sont les pires que j'ai mangé de ma vie, seuls les ailes de poulets à la braise étaient bons. Et pour finir, nous avions demandé kunafa pour la fin de notre repas, donc quand nous avions finis de manger le serveur vient et nous demande "" l kunafa njibouha Wella c'est bon makalah "".",6094,Google Maps,Casbah Istanbul,2023-07-20T11:34:38.538Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131168,Anoir La Coupole مغارة نزع السروال,9144,Facebook,"

Restaurant Casa Bella - Draria",2025-12-02T19:03:45.000Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
786534,Poisson congelé يبعبع 1500DA نشري بيهم زوج ججات و ندير مرميطة طعام باللفت و القرعة احسن من الكونجلي و الزيت الفايح.,11549,Facebook,Restaurant San Benito,2025-08-31T16:06:56.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524391,Je vous déconseille cette pâtisserie j’ai commandé un gâteau d’anniversaire pour 16 personnes il était tout petit et les vendeuses sont désagréables. Une arnaque.,3850,Google Maps,L’Alchimiste Pâtisserie,2025-04-05T15:19:31.870Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262259,واو ما شاء الله  كلاس وتحفة  [APPRECIATION],31834,tiktok,@entracte,2026-01-02T19:14:24.440189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655476,تخدمو بالجمعة,16386,tiktok,@soltane.el.kababe,2026-01-02T18:08:23.862095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917622,مطعم الرايس - Restaurant Rais تمنيك. ليزابا كبدة نتاع دجاج حاسبين ربها كبدا تاع خروف,12424,Facebook,Restaurant Rais,2025-10-13T13:41:14.000Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393334,مطعم ممتاز,2508,Google Maps,HichamCook Grill House,2024-05-13T12:09:16.279Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786552,C’est ou svp ?,24612,tiktok,@laturquoisehotel,2026-01-02T18:30:17.426525,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393337,Le brownie est à tomber par terre mais le croissant roll pistache la crème à l'intérieur n'est pas à mon goût.,3867,Google Maps,L’Alchimiste Pâtisserie,2024-10-14T19:03:38.800Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786556,بزاف غاليين في العاصمة,19290,tiktok,@helena,2026-01-02T18:16:34.501898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786557,Je suis de Mascara et j’aime beaucoup la cuisine de la région kabyle.,27896,tiktok,@thala,2026-01-02T18:45:07.903343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
262292,food is not that great tbh. and the waiter was not the nicest waiter to say the least,5594,Google Maps,Casbah Istanbul القصبة اسطنبول,2023-03-17T15:48:44.098Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262298,walh walh ar des très bonnes prix sincèrement kn ts3it la salle familiale agema aki3in Rabi Bon courage  [APPRECIATION],36914,tiktok,@restaurant.madala,2026-01-02T19:34:41.737915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262308,Avant j étais un restaurant ?,71856,tiktok,@amine.lacantine,2026-01-02T22:11:32.919558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
917680,bonne courage la famille  [APPRECIATION],35340,tiktok,@sinai,2026-01-02T19:28:10.268752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
655540,بصحتك اختي والله راحة,22762,tiktok,@le_perchoir,2026-01-02T18:25:12.857941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
917686,restaurant très cher,59822,tiktok,@oscar_restaurant,2026-01-02T21:22:02.085775,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
