final_id,comment_text,comment_id,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope
818529.0,"Dans l'ensemble il est bien le seul hic c'est le service qui est treeees lent nous avons attendu 50 min pour nous servir , le sandwich était bien le tacos aussi.",8479.0,Google Maps,American Burger Factory,2023-08-14T18:57:55.063Z,0.0,appreciation,complaint,,,,,False
949602.0,"Viande pas bonne , dure , élastique",2856.0,Google Maps,HichamCook Grill House,2022-11-13T23:11:21.981Z,2.0,complaint,,,,,,False
556392.0,جاية تحلى الله يبارك,13696.0,Facebook,Restaurant San Benito,2025-12-28T21:02:05.000Z,1.0,,,,,,,True
294249.0,"Première fois dans ce restaurant . L'accueil est très chaleureux . Les serveurs plutôt réactifs. Le cadre est très agréable , joliment décoré. Les plats commandés étaient vraiment délicieux . Petit bémol , il n'y a pas de plats pour les enfants . Par contre , la musique est un peu trop forte, pas assez de place si on a une poussette, et la clientèle est trop hautaine . ce n'est qu'un resto dans un centre commercial comme partout ailleurs .",6183.0,Google Maps,Casbah Istanbul,2022-10-21T21:25:45.744Z,11.0,appreciation,appreciation,complaint,,,appreciation,False
687466.0,صراحة روووعه ونظافه احسن واحد في عنابة صح يطولو مي روعه او في لحجار,55232.0,tiktok,@askim_food,2026-01-02T21:13:24.963577,3.0,,complaint,appreciation,,,,False
163184.0,روحي تخري,13378.0,Facebook,Restaurant San Benito,2025-12-16T13:45:38.000Z,0.0,,,,,,,True
556402.0,est ce qu'il fait la livraison ? merci,39550.0,tiktok,@le_1675,2026-01-02T19:42:35.045163,0.0,,,,inquiry,,,False
163187.0,ملي شفت سوري داير وهرانية مانكا صاي عرفت بلي مكاش رجال عندكم,13338.0,Facebook,Restaurant San Benito,2025-10-14T00:00:07.000Z,0.0,,,,,,,True
556404.0,راني بعيدة كيفاش نديرها  [APPRECIATION],54630.0,tiktok,@mr._brik,2026-01-02T21:11:17.625843,0.0,,,,,,,True
818551.0,Le menu et les tarifs des plats . merci,10236.0,Facebook,"  Sultan Restaurants


",2025-10-30T17:08:44.000Z,0.0,inquiry,,,,inquiry,,False
556417.0,في وسط المدينة وين دايرة قديمة,29618.0,tiktok,@turtles_snack,2026-01-02T18:50:57.050032,0.0,,,,,,,True
687490.0,le jasmin le meilleur Bana wndafa,59314.0,tiktok,@maestro_dz13,2026-01-02T21:21:28.086053,0.0,appreciation,,appreciation,,,,False
949641.0,صح كاين بلايص فخمة مي لماكلة تاع متتكلش وتندم لي رحت كليت عندو مي نتوما البنة حتى المكان صغير مي كي نجي وناكل نستمتع بلبنة صح حنا نحوسو على البنة ونتوما ملوك الاكل لبنين ربي يوفقكم,49744.0,tiktok,@gosto_fast_food,2026-01-02T20:41:44.744823,1.0,appreciation,,,,,,False
163210.0,Ce restaurant est trop trop trop cher je vous le déconseille vivement ! On était 6 personnes et ça nous a coûté plus de 8 millions de centimes ! C’est exagéré ! C’est le resto le dauphin de la pêcherie Alger .,14002.0,tiktok,@le_dauphin_restaurant,2026-01-02T18:00:53.697135,1.0,,,,,complaint,,False
425355.0,ces un événement les pauvre bientôt il vont te dire. ces nous qui l on inventer,37986.0,tiktok,@kfc,2026-01-02T19:39:25.427731,0.0,,,,,,,True
