final_id,comment_text,comment_id,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope
917504,كليت عندهم كلش توب والله,52270,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.158417,0,,,,,,,
655363,تجي عليك ديري مساج على حساب هدرتك نتع نقلشك,13421,Facebook,Restaurant San Benito,2025-10-13T18:08:32.000Z,3,,,,,,,
262151,في مسرڨين كنت مليح مي دروك راك تغلي,63908,tiktok,@silyon69,2026-01-02T21:33:16.602442,0,,,,,,,
262152,C’est cher ?,22772,tiktok,@le_perchoir,2026-01-02T18:25:12.857954,0,,,,,,,
262153,Comment un restaurant faire autant de mélange et faire des produits frais…. J ai un gros doute sur la fraîcheur de ses produits,21298,tiktok,@triple_,2026-01-02T18:22:04.495506,0,,,,,,,
655367,انا حسبتها غالي بصح كي قلت فيها الخبز وقرعة لڨازوز هذيك هيا,43982,tiktok,@dzforestrestaurants,2026-01-02T20:11:34.194225,1,,,,,,,
786445,Ils font la livraison Svp ?,34864,tiktok,@sinai,2026-01-02T19:27:59.300958,2,,,,,,,
393229,"Très bon, très propre avec un service à la hauteur, je recommande",2723,Google Maps,HichamCook Grill House,2023-05-20T04:29:32.079Z,2,,,,,,,
655375,تالياتال (تالياتيلي) خويا ماشي تاڤلياتال الله يحفظك ، ما ننطقوش G فاللغة الايطالية، مدينة Cagliari نقولو كالياري ماشي كاڤلياري,23920,tiktok,@spotter.dz,2026-01-02T18:27:19.819364,77,,,,,,,
786453,سر راه في بلاكة لي يطيب عليها مشي كيما المقلة,42388,tiktok,@street_food,2026-01-02T19:58:06.183270,0,,,,,,,
131095,"Le goût n'était pas exceptionnel, et pour le prix, je m'attendais à mieux. Je trouve que c'est un peu cher pour ce que c'est.",4106,Google Maps,هشام كوك بيتزا,2025-02-23T13:15:21.833Z,0,,,,,,,
524319,خردة الإسم فقط أرواح عندنا تفهم معنى قلب اللوز,43678,tiktok,@serir_alger,2026-01-02T20:09:41.329590,0,,,,,,,
262178,وين جاء عمي حسان,11867,Facebook,Restaurant San Benito,2025-09-04T23:19:53.000Z,0,,,,,,,
393251,Alors pour casbah de garden j bien aimé c spacieux on est alaise décor j adoré. on a pris ds thé café un ketmer et une kounafa. j bien aimé cete bon,6145,Google Maps,Casbah istanbul,2023-08-09T20:25:41.307Z,0,,,,,,,
262183,مصطفي الزعيم [APPRECIATION],69172,tiktok,@cote_oran,2026-01-02T21:57:46.739297,0,,,,,,,
524327,Gustavo Fring si il était algérien,69502,tiktok,@cote_oran,2026-01-02T21:57:59.950470,1,,,,,,,
393258,"Serveuse aimable, nourriture et boisson excellentes. Je Vous recommande si vous passez à Alger.",3665,Google Maps,Laurel Restaurant,2025-06-20T21:03:10.582Z,0,,,,,,,
786475,على قداه تقفلو,64180,tiktok,@lepalace1,2026-01-02T21:34:27.784949,1,,,,,,,
655409,يوسف ابو معاذ هذي علا سوما خمس الاف,9872,Facebook,Dz Forest Restaura,2025-10-12T23:03:09.000Z,0,,,,,,,
655419,هاتف من فضلك,31568,tiktok,@woodgrill_dz,2026-01-02T19:13:55.381407,0,,,,,,,
917571,monsieur mille feuilles le meilleur,52950,tiktok,@patisserie_annaba,2026-01-02T21:04:18.982321,0,,,,,,,
524361,واين بلاصة نروحو ليه  [APPRECIATION],49658,tiktok,@kik.sfood21,2026-01-02T20:41:17.789227,1,,,,,,,
131150,جازت شابة معا نفطال,20818,tiktok,@amineh351,2026-01-02T18:20:48.456155,0,,,,,,,
786514,wach Kayen f la vidéo machi kima f la réalité sa n'a rien à voir,28910,tiktok,@snacky_time_kouba,2026-01-02T18:47:52.389965,0,,,,,,,
786517,شغل نتغدى في القبر اسمحلي,11016,Facebook,Restaurant Casa Bella - Draria,2025-08-27T01:05:48.000Z,0,,,,,,,
393302,كليت عندو ف اليوم الثاني كي فتح الله يبارك القائمين عل المطعم معاملة شابة ربي يوفقهم,57206,tiktok,@_le216_,2026-01-02T21:17:18.845043,1,,,,,,,
