comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope
4573,791037,"J'étais vraiment déçu , notre plan initial c'était de demander des pizzas , des jus et desserts mais malheureusement on était choqué par le mauvais service c'était lent et surtout les serveurs j'ai demandé 4 fois de ramener un gobelet pour boire de l'eau a la fin le serveur m'a dit qu'on est dépassé On a annulé tous les demandes que ça soit des jus et des desserts, on a seulement mangé des pizza et c'étaient vraiment délicieuses",Google Maps,هشام كوك بيتزا,2023-12-10T00:07:41.885Z,1,Complaint,Complaint,Complaint,None,None,Complaint,False
5856,528925,Ne répond pas à mes attentes il y a mieux viande de poulet pas cuite et frites de la veille,Google Maps,Casbah istanbul,2025-06-21T16:57:56.493Z,0,Complaint,None,Complaint,None,None,None,False
71212,791083,"la classe, l'hashmy et Fayçal, ça rappelle Agadir, et Kahina's,",tiktok,@pont_hydra,2026-01-02T22:07:07.993100,4,None,None,Appreciation,None,None,None,False
3219,266797,"I went to a lot of Indian restaurants around the world and I must say that the Taj Mahal in BenAknoun makes it easily to the top 3, even top 2! Everything is so tasteful and delicious, it’s outrageous! They even recently added new recipes/dishes on their menu. Service is great also. It’s a bit expensive I must admit but it is worth every dinar!",Google Maps,تاج محل بن عكنون,2020-02-07T18:18:49.698Z,0,,,,,,,
2373,397870,"Arrivant avec ma famille, y'avait des places libres, mais le monsieur m'indique que c'est des places reservées , je connais les tables réservées mais pas les places de parking interdire à la clientèle",Google Maps,HichamCook Grill House,2025-01-31T15:05:58.465Z,1,,,,,,,
7426,266856,Vraiment c’est un service formidable et très très bonne accueil  [APPRECIATION],Google Maps,American Burger said hamdine,2024-10-17T19:13:43.485Z,0,,,,,,,
63712,922221,C’est 0 service j’ai manger la viande froid après 2h d’attente et j’ai manger la viande avant la salades et les frites,tiktok,@silyon69,2026-01-02T21:33:12.181987,1,,,,,,,
7754,266879,"American food basically serve sandwiches, burgers and tacos. I liked the food but there are issues that needs to he worked on. Between them and BURGER HOUSE. I choose Burger house because their Burgers are way better and delicious than American burger. Wish them all the best though, the staff are wonderful and happily served us.",Google Maps,American Burger said hamdine,2023-08-29T20:57:30.025Z,1,,,,,,,
5950,135830,"Mon expérience au restaurant Casbah Istanbul a été décevante. Le service était très lent, même avec peu de clients. La qualité des plats était moyenne, avec des saveurs moins prononcées que prévu pour une cuisine turque. Les prix étaient élevés par rapport à la qualité offerte, ce qui m'a donné l'impression de ne pas en avoir pour mon argent. De plus, la propreté laissait à désirer dans certains endroits. Le restaurant a besoin d'améliorations majeures en termes de service et de qualité.",Google Maps,Casbah Istanbul,2024-09-25T22:55:35.285Z,2,,,,,,,
4408,791200,"Service rapide impeccable serveurs trés polis et à l'écoute. bonne ambiance , endroit très propre, on a commandé une pizza au poulet mariné y avait trop d épices Sinon la Marguerite et la pizza au thon étaient bonnes.",Google Maps,هشام كوك بيتزا,2024-03-08T07:33:11.465Z,0,,,,,,,
