comment_id,ai_out_of_scope,ai_food,ai_service,ai_place,ai_delivery,ai_price,ai_treatment
7127,False,appreciation,appreciation,appreciation,None,None,appreciation
62756,False,appreciation,None,appreciation,None,None,None
5805,False,appreciation,appreciation,appreciation,None,None,appreciation
2678,False,appreciation,appreciation,appreciation,None,None,appreciation
72926,False,appreciation,appreciation,appreciation,None,None,appreciation
5924,False,appreciation,appreciation,appreciation,None,None,appreciation
8307,False,appreciation,appreciation,appreciation,None,None,appreciation
2785,False,appreciation,appreciation,appreciation,None,None,appreciation
46314,False,appreciation,appreciation,appreciation,None,None,None
6619,False,None,None,appreciation,None,None,None
38774,False,appreciation,appreciation,appreciation,None,None,appreciation
2727,False,appreciation,appreciation,appreciation,None,None,appreciation
58050,False,appreciation,appreciation,appreciation,None,None,appreciation
7608,False,appreciation,appreciation,appreciation,None,None,appreciation
7128,False,appreciation,appreciation,appreciation,None,None,appreciation
8223,False,appreciation,appreciation,appreciation,None,None,appreciation
4583,False,appreciation,appreciation,appreciation,None,None,appreciation
6451,False,appreciation,appreciation,appreciation,None,None,appreciation
7135,False,appreciation,appreciation,appreciation,None,None,appreciation
44332,False,None,None,appreciation,None,None,None
5832,False,appreciation,appreciation,appreciation,None,None,appreciation
35594,False,appreciation,appreciation,appreciation,None,None,appreciation
4924,False,appreciation,appreciation,appreciation,None,None,appreciation
3705,False,appreciation,appreciation,appreciation,None,None,appreciation
6076,False,appreciation,appreciation,appreciation,None,None,appreciation
4718,False,appreciation,appreciation,appreciation,None,None,appreciation
4823,False,appreciation,appreciation,appreciation,None,None,appreciation
7882,False,appreciation,appreciation,appreciation,None,None,appreciation
2217,False,appreciation,appreciation,appreciation,None,None,appreciation
37512,False,appreciation,appreciation,appreciation,None,None,appreciation
11960,False,appreciation,appreciation,appreciation,None,None,appreciation
5870,False,appreciation,appreciation,appreciation,None,None,appreciation
44528,False,None,None,appreciation,None,None,None
5874,False,appreciation,appreciation,appreciation,None,None,appreciation
8046,False,appreciation,appreciation,appreciation,None,None,appreciation
10751,False,None,None,appreciation,None,None,None
4513,False,appreciation,appreciation,appreciation,None,None,appreciation
3917,False,appreciation,appreciation,appreciation,None,None,appreciation
8637,False,appreciation,appreciation,appreciation,None,None,appreciation
2468,False,appreciation,appreciation,appreciation,None,None,appreciation
3620,False,appreciation,appreciation,appreciation,None,None,appreciation
6106,False,appreciation,appreciation,appreciation,None,None,appreciation
6399,False,appreciation,appreciation,appreciation,None,None,appreciation
64638,False,appreciation,appreciation,appreciation,None,None,appreciation
6810,False,appreciation,appreciation,appreciation,None,None,appreciation
8610,False,appreciation,appreciation,appreciation,None,None,appreciation
7783,False,appreciation,appreciation,appreciation,None,None,appreciation
63088,False,appreciation,None,appreciation,None,None,None
37112,False,appreciation,None,appreciation,None,None,None
1072,False,appreciation,appreciation,appreciation,None,None,appreciation
4038,False,appreciation,appreciation,appreciation,None,None,appreciation
54588,False,appreciation,appreciation,appreciation,None,None,appreciation
44518,False,appreciation,appreciation,appreciation,None,None,appreciation
69640,False,appreciation,None,appreciation,None,None,None
2849,False,appreciation,None,appreciation,None,None,None
24262,False,appreciation,appreciation,appreciation,None,None,appreciation
36156,False,appreciation,appreciation,appreciation,None,None,appreciation
7253,False,appreciation,appreciation,appreciation,None,None,appreciation
6021,False,appreciation,appreciation,appreciation,None,None,appreciation
60752,False,appreciation,appreciation,appreciation,None,None,appreciation
10569,False,None,None,appreciation,None,None,None
625,False,appreciation,appreciation,appreciation,None,None,appreciation
2284,False,appreciation,None,appreciation,None,None,None
16952,False,appreciation,appreciation,appreciation,None,None,appreciation
7477,False,appreciation,appreciation,appreciation,None,None,appreciation
5084,False,appreciation,appreciation,appreciation,None,None,appreciation
1886,False,appreciation,None,appreciation,None,None,None
10713,False,appreciation,None,appreciation,None,None,None
30594,False,appreciation,appreciation,appreciation,None,None,appreciation
5813,False,appreciation,appreciation,appreciation,None,None,appreciation
5376,False,appreciation,appreciation,appreciation,None,None,appreciation
6161,False,appreciation,appreciation,appreciation,None,None,appreciation
7003,False,appreciation,appreciation,appreciation,None,None,appreciation
48876,False,appreciation,None,appreciation,None,None,None
23258,False,appreciation,appreciation,appreciation,None,None,None
5506,False,appreciation,appreciation,appreciation,None,None,appreciation
6822,False,appreciation,appreciation,appreciation,None,None,appreciation
8757,False,appreciation,appreciation,appreciation,None,None,appreciation
2029,False,appreciation,appreciation,appreciation,None,None,appreciation
3933,False,appreciation,appreciation,appreciation,None,None,appreciation
18106,False,appreciation,None,appreciation,None,None,None
3042,False,appreciation,appreciation,appreciation,None,None,appreciation
8259,False,appreciation,appreciation,appreciation,None,None,appreciation
3978,False,appreciation,appreciation,appreciation,None,None,appreciation
5140,False,appreciation,appreciation,appreciation,None,None,appreciation
6147,False,appreciation,appreciation,appreciation,None,None,appreciation
5653,False,appreciation,appreciation,appreciation,None,None,appreciation
24630,False,appreciation,appreciation,appreciation,None,None,appreciation
7234,False,appreciation,appreciation,appreciation,None,None,appreciation
8244,False,appreciation,appreciation,appreciation,None,None,appreciation
27536,False,appreciation,appreciation,appreciation,None,None,appreciation
5907,False,appreciation,appreciation,appreciation,None,None,appreciation
43740,False,appreciation,appreciation,appreciation,None,None,appreciation
6309,False,appreciation,appreciation,appreciation,None,None,appreciation
