comment_id,platform,source_name,comment_text,date,likesCount,video_id,video_url,restaurant
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzgzMzY4MTIwOTMwODQ4Ng==,facebook,أم باديس أم باديس,وش هو السر تع لون البرغر ..هذا اللون من. الفرن او شيى اخر ياريت لي تعرف تفيدنا ؟؟؟,2025-11-20T10:48:52.000Z,12,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzEzNjAzMjU4Mjg4MDQ2NzM=,facebook,Hafid Beng,اول مبادرة شابة شفتها ان شاء الله تتعمم لان الاسعار أصبحت خيالية,2025-11-20T13:35:22.000Z,10,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzgxNTkwMDk0NDUzNzY5Nw==,facebook,Benseddik Mohammed,البرغر الأول جايبو كبير أكبر من يدك ..و البرغر اللي تخدم بيه فيه 3 عضات,2025-11-20T09:51:16.000Z,9,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzExNzM0NzgzMDA4NzAwOTg=,facebook,Sàlah Âçhôürï,هربولك المرفهين تغير الطكتيك ههههه ربي يعاونك,2025-11-20T16:36:04.000Z,7,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzE2MDU0ODM1MTcxMDIxNzc=,facebook,Works Lydia,انا كنت نحب نجي و نجيب  عايلة  مي نخاف سعر مي  دوكا 🥰🥰🥰 نجي  ندوقو البنة ان شاء الله حاجة مليحة حطيت الاسعار الواحد يدير حسابو🥰,2025-11-20T08:13:04.000Z,8,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzMyMDExMTU3NDY3MjE2ODE=,facebook,DarkOom Stor,35الف طاكوس ودوبلي برغر 30الف انتيك,2025-11-20T13:03:33.000Z,6,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzEyMTQ0MzYwMDA1NTU1MTI=,facebook,Adel LA Couza,و أخيرا هدا هوا هشام تع الزواولا دوك نجيب الأم و الزوجة و الأطفال و نجي,2025-11-20T10:02:43.000Z,2,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzgyNjM5NjU3MzUxOTAyMQ==,facebook,وليد محامدية,هشام كوك فيرسوه عاد ارخس,2025-11-20T21:36:17.000Z,0,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzQyMzUwODUxNjM0MzE4OTQ=,facebook,Oum Houdayfa,هربوله  المرفهين  ولا للقلاليل,2025-12-28T14:49:09.000Z,0,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzMyNTQ1Nzc2ODEzNzY1NjY=,facebook,Nour EL-Houda,واش من بلاصة,2026-01-12T03:46:28.000Z,0,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE4Nzk3MDY3NTI5ODQ1NjI=,facebook,الشيخ فرحات cheikh ferhat,خطأ في توقيت النشر بلوكيتنا قهيوتنا يا  هشام للطبخ hicham cook,2025-10-30T06:48:38.000Z,67,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzcxNjcyMjg3NDEzNDA5Nw==,facebook,Hocine Haddad,مع الصباح هشام 😕 اوموا خلي وقت الغدا,2025-10-30T06:21:30.000Z,15,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
