comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,model_prediction,feeling
52270,917504,كليت عندهم كلش توب والله,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.158417,0,Appreciation,Appreciation,Appreciation,Appreciation,Appreciation,Appreciation,False,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""delivery_appreciation"", ""price_appreciation"", ""treatment_appreciation""]",positive
52706,524904,أنا معجبنيش الخبز يعيف,tiktok,@uncles_burger_dz,2026-01-02T21:03:40.624878,0,Complaint,,,,,,False,"[""food_complaint""]",negative
52576,787673,Onat,tiktok,@uncles_burger_dz,2026-01-02T21:03:36.435804,0,,,,,,,True,[],neutral
52288,265486,أنا في عنابة وأول مرة نعرف بهذا روستورو,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.158459,0,,,,,,,True,[],neutral
52122,791365,Lgit fih cha3ra hamburger lol,tiktok,@uncles_burger_dz,2026-01-02T21:03:25.013469,10,complaint,,,,,,False,"[""food_complaint""]",negative
52360,922788,حق ربي شجعتني مرنروحش تما ٠٠,tiktok,@uncles_burger_dz,2026-01-02T21:03:31.530457,0,,,,,,,True,[],neutral
52364,792598,du camembert en plus,tiktok,@uncles_burger_dz,2026-01-02T21:03:31.530460,0,appreciation,,,,,,False,"[""food_appreciation""]",positive
52324,663933,شحال طاكوس,tiktok,@uncles_burger_dz,2026-01-02T21:03:29.230229,0,,,,,inquiry,,False,"[""price_inquiry""]",neutral
52356,402652,لاصوص مايها زيد عقدها شوية بركا,tiktok,@uncles_burger_dz,2026-01-02T21:03:31.530452,0,recommendation,,,,,,False,"[""food_recommendation""]",positive
52116,796484,عادي ماشي حاجة واو و سرفيس ناقص,tiktok,@uncles_burger_dz,2026-01-02T21:03:25.013463,2,Complaint,,,,,Complaint,False,"[""food_complaint"", ""treatment_complaint""]",negative
52248,665838,lpoutine ta3ou Très délicieux Benaa masratch,tiktok,@uncles_burger_dz,2026-01-02T21:03:28.152394,0,Appreciation,,,,,,False,"[""food_appreciation""]",positive
