comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,post_id,model_prediction,feeling
28690,667629,كل التوفيق والنجاح تستاهل كل خير,tiktok,American Burger,2026-01-02T18:47:32.303308,0,,,,,,,True,1012.0,[],neutral
28702,406406,c ou,tiktok,American Burger,2026-01-02T18:47:32.303322,0,,,Inquiry,,,,False,1012.0,"[""place_inquiry""]",neutral
28668,794943,bravo et félicitations,tiktok,American Burger,2026-01-02T18:47:31.474893,0,,,Appreciation,,,,False,1012.0,"[""place_appreciation""]",positive
28676,679179,bonne courage hbibi yacine et bonne continuation,tiktok,American Burger,2026-01-02T18:47:31.474903,0,,,,,,,True,1012.0,[],neutral
28654,394287,ces ou ?,tiktok,American Burger,2026-01-02T18:47:31.474875,0,,,Inquiry,Inquiry,,,False,1012.0,"[""place_inquiry"", ""delivery_inquiry""]",neutral
28770,135340,thetse3ichim s laqwada,tiktok,American Burger,2026-01-02T18:47:33.938720,0,,,,,,,True,1012.0,[],neutral
28622,535626,imi so Les Bleus et les Vert wlh mathbidh doro,tiktok,American Burger,2026-01-02T18:47:27.891731,2,,,,,,,True,1012.0,[],neutral
28648,928534,Franchement la nourriture et tre bonnes,tiktok,American Burger,2026-01-02T18:47:31.474867,1,Appreciation,,Appreciation,,,,False,1012.0,"[""food_appreciation"", ""place_appreciation""]",positive
28662,163042,l'état major n'a pas venu ?,tiktok,American Burger,2026-01-02T18:47:31.474885,0,,,inquiry,,,,False,1012.0,"[""place_inquiry""]",neutral
8825,665542,"Mois j'ai essayer la versions livraison, trop bon, mais la livraison facturée hyper chère, je n'ai pas essayé sur place, je les ai connu à travers un pub sur instagram, l'image du sandwich donnait vraiment envie",Google Maps,American Burger,2018-05-10T00:24:58.809Z,0,Appreciation,,,Complaint,,,False,1263.0,"[""food_appreciation"", ""delivery_complaint""]",neutral
7889,161934,Tres bel endroit c'était bon juste le tacos trop cuit,Google Maps,American Burger,2025-02-15T17:27:42.304Z,0,Appreciation,,Appreciation,,,,False,1263.0,"[""food_appreciation"", ""place_appreciation""]",positive
7730,552614,"Une belle expérience, merci de votre professionalism surtout Youcef à la prochaine fois",Google Maps,American Burger,2025-04-05T21:53:33.913Z,0,Appreciation,Appreciation,Appreciation,,,Appreciation,False,1263.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""treatment_appreciation""]",positive
6872,133183,"No delivery service seriously people you manage a business like this, is that an answer you give to your clients",Google Maps,American Burger,2025-07-21T21:41:03.557Z,0,,,,Complaint,,,False,1263.0,"[""delivery_complaint""]",negative
6786,941863,"C’est propre, c’est rapide, c’est bon. Félicitions",Google Maps,American Burger,2025-08-06T20:51:50.413Z,0,Appreciation,Appreciation,Appreciation,,,Appreciation,False,1263.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""treatment_appreciation""]",positive
7463,815782,Tres bon restaurant les serveur tres sympathique avec une joie de vivre je recommande fortement ce restaurant meme les plats sont incroyables . farouk,Google Maps,American Burger,2025-05-21T13:37:30.849Z,0,Appreciation,Appreciation,Appreciation,,,Appreciation,False,1263.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""treatment_appreciation""]",positive
8463,291123,"Accueil chaleureux, service 10/10 , vraiment tu prends plaisir. Bonne continuation",Google Maps,American Burger,2023-09-10T07:15:13.457Z,0,Appreciation,Appreciation,Appreciation,,,Appreciation,False,1263.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""treatment_appreciation""]",positive
7917,553282,"Constatez par vous même. Grosse différence entre les photos publiées sur leur instagram et la réalité concernant les burgers. Sur instagram c'est hyper bien garni, hyper bien dosé et en réalité on tombe sur l'arnaque. Pourtant j'ai pris le burger le plus cher en taille triple. Ne vous fiez pas à leurs photos sur Instagram car tout est faux. La sauce roquefort dans le burger n'est pas fameuse. Je pense c'est une vurgaire sauce industrielle qui essaye d'imiter le goût du roquefort mais loin d'être le cas (j'ai l'habitude d'en manger et d'en préparer chez moi en France donc je sais ce que c'est). Bref déçu 800da le burger pour ça, ma femme ayant pris taille double à 700da, ca ne les vaut pas non plus.",Google Maps,American Burger,2025-02-12T23:14:59.251Z,0,Complaint,,,,Complaint,,False,1263.0,"[""food_complaint"", ""price_complaint""]",negative
8810,160088,Assez bon et endroit sympas . Le décor aussi,Google Maps,American Burger,2018-12-11T19:50:11.943Z,0,Appreciation,,Appreciation,,,,False,1263.0,"[""food_appreciation"", ""place_appreciation""]",positive
