comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,post_id,model_prediction,feeling
62756,136837,"pas trop, le service super long",tiktok,favorite restaurant,2026-01-02T21:30:55.677942,0,Complaint,Complaint,,,,,False,1008.0,"[""food_complaint"", ""service_complaint""]",negative
62658,923239,ماشاء الله بالتوفيق,tiktok,favorite restaurant,2026-01-02T21:30:54.049944,1,,,,,,,True,1008.0,[],neutral
62708,394558,"Vous avez pas vu le prix d’un trompe-l’œil à 450 dinars , même c’est très abusé",tiktok,favorite restaurant,2026-01-02T21:30:54.860454,2,,,,,Complaint,,False,1008.0,"[""price_complaint""]",negative
62494,799750,حنا غي نشوفو,tiktok,favorite restaurant,2026-01-02T21:30:49.256856,4,,,,,,,True,1008.0,[],neutral
62740,292828,Salaire algérien prix suisse,tiktok,favorite restaurant,2026-01-02T21:30:55.613335,0,Complaint,,,,Complaint,,False,1008.0,"[""food_complaint"", ""price_complaint""]",negative
62636,548650,الأكلات المسرطنة très professionnel,tiktok,favorite restaurant,2026-01-02T21:30:53.973729,0,Complaint,,,,,Appreciation,False,1008.0,"[""food_complaint"", ""treatment_appreciation""]",neutral
62694,544371,ما شاء الله ربي يبارك   [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:30:54.860444,2,,,,,,,True,1008.0,[],neutral
62714,289312,magnifiques  [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:30:54.860458,1,,,appreciation,,,,False,1008.0,"[""place_appreciation""]",positive
62608,545932,صراحة بلاصة شابة بزااااف حيدرة ترجع لمرتبة 2 بون كوراج,tiktok,favorite restaurant,2026-01-02T21:30:53.187043,1,,,appreciation,,,,False,1008.0,"[""place_appreciation""]",positive
62722,683405,en face les centres quoi ? .,tiktok,favorite restaurant,2026-01-02T21:30:55.613310,0,,,inquiry,,,,False,1008.0,"[""place_inquiry""]",neutral
62672,925021,"J’y suis allé, j’ai beaucoup aimé personnel au top",tiktok,favorite restaurant,2026-01-02T21:30:54.725077,2,,,Appreciation,,,Appreciation,False,1008.0,"[""place_appreciation"", ""treatment_appreciation""]",positive
63088,140029,"le mot clé de la vidéo ""ننصح الناس لي جايين من خارج الوطن"" بالعربية عندك اورو ارواح، ولا حمي جيبك مليح خاطر كما يقولو tu VAS laisser de plumes",tiktok,favorite restaurant,2026-01-02T21:31:04.202465,0,,,,,Complaint,,False,1008.0,"[""price_complaint""]",negative
62638,943012,تعملون عيد ميلاد,tiktok,favorite restaurant,2026-01-02T21:30:53.973732,1,,,,,,,True,1008.0,[],neutral
62548,687392,Tout est bon,tiktok,favorite restaurant,2026-01-02T21:30:51.792754,1,appreciation,,,,,,False,1008.0,"[""food_appreciation""]",positive
62570,545610,ويلاقونا كيما لاقوك ولالا,tiktok,favorite restaurant,2026-01-02T21:30:53.140153,0,,,,,,,True,1008.0,[],neutral
62678,801281,Très belle boulangerie  [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:30:54.725084,1,,,Appreciation,,,,False,1008.0,"[""place_appreciation""]",positive
63106,277118,وين حمبوك بعثلي نمرو ديالكم,tiktok,favorite restaurant,2026-01-02T21:31:05.048381,0,,,Inquiry,,,,False,1008.0,"[""place_inquiry""]",neutral
63100,139319,شحال عطاوك,tiktok,favorite restaurant,2026-01-02T21:31:04.202482,0,,,,,inquiry,,False,1008.0,"[""price_inquiry""]",neutral
62518,804982,je valide surtout les serveurs morceaux de sucre le service rapide je donne 10/10 [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:30:51.792712,8,Appreciation,Appreciation,Appreciation,,,Appreciation,False,1008.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation"", ""treatment_appreciation""]",positive
63044,671369,TROP D’ATTENTE ? C’EST MORT  J’IRAIS PAS ! [COMPLAINT],tiktok,favorite restaurant,2026-01-02T21:31:03.370952,1,,complaint,,,,,False,1008.0,"[""service_complaint""]",negative
62500,131640,les gens négatifs rester chez vous l Algérie à besoin de gens positifs qui aiment leur pays et qui laissent de bons commentaires,tiktok,favorite restaurant,2026-01-02T21:30:49.256867,222,,,,,,,True,1008.0,[],neutral
62552,925759,J’ai validé c’est le meilleur  [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:30:51.792760,2,,,Appreciation,,,,False,1008.0,"[""place_appreciation""]",positive
62574,673823,الله يبارك هذي حومتي من نجي أنشأ الله نجي عندكم تهلو فينا,tiktok,favorite restaurant,2026-01-02T21:30:53.140160,0,,,,,,,True,1008.0,[],neutral
63092,815624,مزيا نصحتي ناس خارج الوطن لخطر بالاورو,tiktok,favorite restaurant,2026-01-02T21:31:04.202475,0,,,,,,,True,1008.0,[],neutral
63026,150683,Vraiment magnifique bravo et bonne continuation  [APPRECIATION],tiktok,favorite restaurant,2026-01-02T21:31:02.524617,0,,,Appreciation,,,,False,1008.0,"[""place_appreciation""]",positive
62534,794581,les prix j'imagine qu'ils sont pas raisonnable,tiktok,favorite restaurant,2026-01-02T21:30:51.792736,0,,,,,Complaint,,False,1008.0,"[""price_complaint""]",negative
63122,812348,داخل الوطن نهزو الشمع لجماعة خارج الوطن. أفريقيا,tiktok,favorite restaurant,2026-01-02T21:31:05.048404,0,,,,,,,True,1008.0,[],neutral
