emoji,count,description
🥰,9574,smiling_face_with_hearts
❤️,4763,red_heart
😂,4450,face_with_tears_of_joy
😍,2181,smiling_face_with_heart-eyes
❤,1998,red_heart
😁,1275,beaming_face_with_smiling_eyes
🤣,1239,rolling_on_the_floor_laughing
🔥,1085,fire
🇩🇿,948,Algeria
👍,915,thumbs_up
👏,783,clapping_hands
♥️,770,heart_suit
😳,596,flushed_face
👌,519,OK_hand
💪,513,flexed_biceps
😭,497,loudly_crying_face
😅,383,grinning_face_with_sweat
✨,372,sparkles
🥺,362,pleading_face
😏,336,smirking_face
😋,333,face_savoring_food
🤲,332,palms_up_together
💯,327,hundred_points
🌹,322,rose
🙏,285,folded_hands
♥,261,heart_suit
🤩,239,star-struck
😢,206,crying_face
💕,196,two_hearts
💖,196,sparkling_heart
⭐,195,star
🇲🇦,186,Morocco
🙂,186,slightly_smiling_face
💚,170,green_heart
🤔,157,thinking_face
😘,140,face_blowing_a_kiss
💗,139,growing_heart
☺️,136,smiling_face
💔,135,broken_heart
👑,126,crown
🤤,123,drooling_face
😉,117,winking_face
✌️,107,victory_hand
🤍,107,white_heart
😎,100,smiling_face_with_sunglasses
❣️,98,heart_exclamation
✅,97,check_mark_button
😻,94,smiling_cat_with_heart-eyes
😊,93,smiling_face_with_smiling_eyes
🤮,88,face_vomiting
💞,84,revolving_hearts
❌,75,cross_mark
💓,74,beating_heart
😱,74,face_screaming_in_fear
🥹,72,face_holding_back_tears
😮,71,face_with_open_mouth
🙄,71,face_with_rolling_eyes
🥲,71,smiling_face_with_tear
💀,67,skull
😇,65,smiling_face_with_halo
😡,60,enraged_face
🙃,58,upside-down_face
💙,58,blue_heart
🙌,55,raising_hands
😔,55,pensive_face
✌,53,victory_hand
😌,50,relieved_face
👌🏻,50,OK_hand_light_skin_tone
🖤,49,black_heart
😆,48,grinning_squinting_face
💝,48,heart_with_ribbon
🦋,46,butterfly
😜,43,winking_face_with_tongue
👍🏻,42,thumbs_up_light_skin_tone
🫡,41,saluting_face
🩷,41,pink_heart
😞,41,disappointed_face
😩,41,weary_face
💐,40,bouquet
🫶,40,heart_hands
😒,40,unamused_face
🫶🏻,39,heart_hands_light_skin_tone
🌷,39,tulip
😄,39,grinning_face_with_smiling_eyes
🤝,38,handshake
🌸,37,cherry_blossom
💜,37,purple_heart
🤗,36,smiling_face_with_open_hands
🥴,35,woozy_face
😃,35,grinning_face_with_big_eyes
👏🏻,33,clapping_hands_light_skin_tone
💋,32,kiss_mark
🇵🇸,32,Palestinian_Territories
👎,32,thumbs_down
👀,31,eyes
🤢,30,nauseated_face
🌺,30,hibiscus
🤪,28,zany_face
😥,27,sad_but_relieved_face
😑,27,expressionless_face
🙏🏻,26,folded_hands_light_skin_tone
💛,25,yellow_heart
🐌,25,snail
🎁,25,wrapped_gift
🤲🏻,25,palms_up_together_light_skin_tone
❤️‍🔥,24,heart_on_fire
🩵,24,light_blue_heart
⬆️,23,up_arrow
🤭,23,face_with_hand_over_mouth
🫠,23,melting_face
😫,23,tired_face
👋,22,waving_hand
😬,20,grimacing_face
🇹🇳,19,Tunisia
🤨,18,face_with_raised_eyebrow
🫣,17,face_with_peeking_eye
🥀,16,wilted_flower
🇮🇹,15,Italy
🎶,15,musical_notes
🍕,15,pizza
👌🏼,14,OK_hand_medium-light_skin_tone
💰,14,money_bag
🌟,14,glowing_star
🙈,13,see-no-evil_monkey
🍔,13,hamburger
🤦,13,person_facepalming
🎀,13,ribbon
💎,13,gem_stone
😐,13,neutral_face
😝,12,squinting_face_with_tongue
🎄,12,Christmas_tree
😀,12,grinning_face
☹️,11,frowning_face
☺,11,smiling_face
🤡,11,clown_face
💪🏻,11,flexed_biceps_light_skin_tone
🥵,11,hot_face
🕊,10,dove
💃,10,woman_dancing
🐟,10,fish
⚠️,10,warning
🤌🏻,10,pinched_fingers_light_skin_tone
🤎,10,brown_heart
⛔,10,no_entry
🫶🏼,10,heart_hands_medium-light_skin_tone
😵‍💫,9,face_with_spiral_eyes
😠,9,angry_face
🦞,9,lobster
🥳,9,partying_face
🥇,9,1st_place_medal
💶,9,euro_banknote
🤑,9,money-mouth_face
💪🏼,9,flexed_biceps_medium-light_skin_tone
✔️,9,check_mark
🧑‍🍳,9,cook
🌊,9,water_wave
👎🏻,9,thumbs_down_light_skin_tone
👜,8,handbag
🤦🏻‍♀️,8,woman_facepalming_light_skin_tone
😰,8,anxious_face_with_sweat
😲,8,astonished_face
🧐,8,face_with_monocle
👍🏼,8,thumbs_up_medium-light_skin_tone
😖,8,confounded_face
🙏🏼,8,folded_hands_medium-light_skin_tone
🫀,8,anatomical_heart
🏃‍♀️‍➡️,8,woman_running_facing_right
🏅,8,sports_medal
🍉,8,watermelon
❣,8,heart_exclamation
✌🏻,8,victory_hand_light_skin_tone
🏃🏻‍♀️,8,woman_running_light_skin_tone
🗿,7,moai
🪐,7,ringed_planet
💘,7,heart_with_arrow
♀️,7,female_sign
🐆,7,leopard
🐔,7,chicken
♂️,7,male_sign
⚡,7,high_voltage
😪,7,sleepy_face
🏃🏻‍♂️,7,man_running_light_skin_tone
🪬,7,hamsa
💫,7,dizzy
🕊️,7,dove
🏃,7,person_running
🤦🏻‍♂️,7,man_facepalming_light_skin_tone
🌙,7,crescent_moon
👏🏼,7,clapping_hands_medium-light_skin_tone
🌚,7,new_moon_face
😕,7,confused_face
🍀,7,four_leaf_clover
🍓,6,strawberry
🤐,6,zipper-mouth_face
😶,6,face_without_mouth
☝️,6,index_pointing_up
✝️,6,latin_cross
🏞,6,national_park
💩,6,pile_of_poo
🇨🇭,6,Switzerland
⤵️,6,right_arrow_curving_down
🦁,6,lion
🤓,6,nerd_face
🐊,6,crocodile
🤲🏼,6,palms_up_together_medium-light_skin_tone
🌮,6,taco
🍣,6,sushi
🎉,6,party_popper
📍,6,round_pushpin
