sample_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent,raw_comment_text
1,37960,tiktok,@kfc,Cayafsi,2026-01-02T19:39:24.681454,1,,,,Cayafsi
2,47756,tiktok,@snackcheesekou.ko,[POS_EMOJI],2026-01-02T20:32:49.728584,0,,,,❤️
3,42070,tiktok,@street_food,في الدار النظافة,2026-01-02T19:57:59.469248,0,,,,في الدار النظافة 😏
4,51718,tiktok,@quick_bite,هدا فيلم رعب,2026-01-02T21:01:56.786376,9,,,,هدا فيلم رعب 😂😂
5,37110,tiktok,@restaurant.madala,prix abordable pas cher du tout au vue la delice des plats,2026-01-02T19:34:44.959958,2,,,,prix abordable pas cher du tout au vue la delice des plats
6,61520,tiktok,@denatelo_annaba,les prix très élevés plein de cafards par tout je vous jure,2026-01-02T21:25:08.387488,0,,,,les prix très élevés plein de cafards par tout je vous jure
7,45348,tiktok,@budz,mon cousin a mieux a Hydra quartier des ambassades,2026-01-02T20:15:56.664381,0,,,,mon cousin a mieux a Hydra quartier des ambassades
8,22586,tiktok,@le_perchoir,Bordj kiffan c'était super bon,2026-01-02T18:25:08.690579,3,,,,Bordj kiffan c'était super bon
9,59848,tiktok,@oscar_restaurant,c'est trop cher,2026-01-02T21:22:05.755980,0,,,,c'est trop cher
10,6241,Google Maps,Casbah Istanbul,التجربة كانت سيئة فلم اخرج بانطباع جيد من المطعم بسبب المسؤول التركي الذي يتعامل بطريقة غير جيدة حيث يقوم بحمل الصحون من امامك قبل سؤالك عن حاجتك لاي شيء آخر وهذا التصرف الغريب جعلني اقرر بعدم القدوم لهذا المطعم مرة اخرى,2022-08-22T11:25:07.095Z,1,unknown,,,التجربة كانت سيئة فلم اخرج بانطباع جيد من المطعم بسبب المسؤول التركي الذي يتعامل بطريقة غير جيدة حيث يقوم بحمل الصحون من امامك قبل سؤالك عن حاجتك لاي شيء آخر وهذا التصرف الغريب جعلني اقرر بعدم القدوم لهذا المطعم مرة اخرى
11,2502,Google Maps,HichamCook Grill House,الطعام لذيذ وخدمة ممتاز اجواء روعه,2024-05-13T13:10:20.077Z,0,unknown,,,الطعام لذيذ وخدمة ممتاز اجواء روعه
12,49508,tiktok,@kik.sfood21,والله ياخوتي من لبريستيج بزاف نخاف لاندخل,2026-01-02T20:41:12.870552,1,,,,والله ياخوتي من لبريستيج بزاف نخاف لاندخل😅
13,31394,tiktok,@jungle_alger,,2026-01-02T19:12:05.678148,0,,,,😁😁😁
14,51566,tiktok,@broaster_chiken,في حالة درك وين خرجت من عندوا الغلا وبرك النوعية في حالة أنا عن نفسي ماعجبنيش السرفيس حدث ولا حرج,2026-01-02T21:00:01.526232,0,,,,في حالة درك وين خرجت من عندوا الغلا وبرك النوعية في حالة أنا عن نفسي ماعجبنيش السرفيس حدث ولا حرج
15,72148,tiktok,@pont_hydra,Mr Mohand le kabyle,2026-01-02T22:13:14.227722,127,,,,Mr Mohand le kabyle 😉
16,62774,tiktok,@allechante,Le prix [INTENSE],2026-01-02T21:30:57.321127,0,,,,Le prix ????
17,1125,instagram,jardina.coffee,Les meilleures crèmes brulées que j’ai mangé de ma vie [POS_EMOJI],2025-08-22T21:09:56.000Z,2,unknown,,,Les meilleures crèmes brulées que j’ai mangé de ma vie 😍
18,57580,tiktok,@_le216_,راجلها نحسو نبحبهاش كيما حبها للمرحوم محمد ربي يرحمو حتى هي محبت حتى واحد من محمد الله يرحمو,2026-01-02T21:17:27.096168,1,,,,راجلها نحسو نبحبهاش كيما حبها للمرحوم محمد ربي يرحمو حتى هي محبت حتى واحد من محمد الله يرحمو🤲
19,3039,Google Maps,تاج محل بن عكنون,"C'était bon, les prix comme partout ailleurs (je parle des restos indiens), la déco est belle, les sauces sont exquises. Je remercie le personnel qui est aux petits soins, les serveurs sont vraiment très gentils, professionnels et rapides. Les plats sont copieux. Les pains naan étaient trop croustillants à mon goût, je préfère quand ils sont tendres mais sinon belle expérience.",2025-01-05T15:59:24.524Z,0,"price,food,service",,,"C'était bon, les prix comme partout ailleurs (je parle des restos indiens), la déco est belle, les sauces sont exquises. Je remercie le personnel qui est aux petits soins, les serveurs sont vraiment très gentils, professionnels et rapides. Les plats sont copieux. Les pains naan étaient trop croustillants à mon goût, je préfère quand ils sont tendres mais sinon belle expérience."
20,6073,Google Maps,Casbah Istanbul,Très bon mais le poulet est meilleur,2023-08-15T23:22:53.232Z,0,food,,,Très bon mais le poulet est meilleur
