final_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent,raw_text
1,28900,tiktok,@snacky_time_kouba,السعر,2026-01-02T18:47:52.389954,0,,,,السعر
2,51566,tiktok,@broaster_chiken,في حالة درك وين خرجت من عندوا الغلا وبرك النوعية في حالة أنا عن نفسي ماعجبنيش السرفيس حدث ولا حرج,2026-01-02T21:00:01.526232,0,,,,في حالة درك وين خرجت من عندوا الغلا وبرك النوعية في حالة أنا عن نفسي ماعجبنيش السرفيس حدث ولا حرج
3,13822,Facebook,Restaurant San Benito,الحوت في بجاية خير bon prix,2025-12-29T20:32:45.000Z,0,"price,food",,,الحوت في بجاية خير bon prix
4,7679,Google Maps,Restaurant À Petit Feu,"Accueil : Parfait & Chaleureux
Ambiance : Extraordinaire & Magnifique
Gastronomie : Délicieux & Désireux",2023-11-23T08:58:16.174Z,0,"food,treatment,place",,,"Accueil : Parfait & Chaleureux
Ambiance : Extraordinaire & Magnifique
Gastronomie : Délicieux & Désireux"
5,45348,tiktok,@budz,mon cousin a mieux a Hydra quartier des ambassades,2026-01-02T20:15:56.664381,0,,,,mon cousin a mieux a Hydra quartier des ambassades
6,62774,tiktok,@allechante,Le prix  [INTENSE],2026-01-02T21:30:57.321127,0,,,,Le prix ????
7,24018,tiktok,@spotter.dz,هدا ريسطورون تع عبدو رحا وقيل,2026-01-02T18:27:24.951449,0,,,,هدا ريسطورون تع عبدو رحا وقيل
8,53676,tiktok,@guellil._.tasnim,احكيلنا على البري خو,2026-01-02T21:08:10.137854,3,,,,احكيلنا على البري خو 🤣🤣
9,42070,tiktok,@street_food,في الدار النظافة,2026-01-02T19:57:59.469248,0,,,,في الدار النظافة 😏
10,51718,tiktok,@quick_bite,هدا فيلم رعب,2026-01-02T21:01:56.786376,9,,,,هدا فيلم رعب 😂😂
11,6073,Google Maps,Casbah Istanbul,Très bon mais le poulet est meilleur,2023-08-15T23:22:53.232Z,0,food,,,Très bon mais le poulet est meilleur
12,55044,tiktok,@luestro_annaba,تكوموندي انت وزهرك,2026-01-02T21:12:19.312138,1,,,,تكوموندي انت وزهرك😂
13,1125,instagram,jardina.coffee,Les meilleures crèmes brulées que j’ai mangé de ma vie,2025-08-22T21:09:56.000Z,2,unknown,,,Les meilleures crèmes brulées que j’ai mangé de ma vie 😍
14,6241,Google Maps,Casbah Istanbul,التجربة كانت سيئة فلم اخرج بانطباع جيد من المطعم بسبب المسؤول التركي الذي يتعامل بطريقة غير جيدة حيث يقوم بحمل الصحون من امامك قبل سؤالك عن حاجتك لاي شيء آخر وهذا التصرف الغريب جعلني اقرر بعدم القدوم لهذا المطعم مرة اخرى,2022-08-22T11:25:07.095Z,1,unknown,,,التجربة كانت سيئة فلم اخرج بانطباع جيد من المطعم بسبب المسؤول التركي الذي يتعامل بطريقة غير جيدة حيث يقوم بحمل الصحون من امامك قبل سؤالك عن حاجتك لاي شيء آخر وهذا التصرف الغريب جعلني اقرر بعدم القدوم لهذا المطعم مرة اخرى
15,3039,Google Maps,تاج محل بن عكنون,"C'était bon, les prix comme partout ailleurs (je parle des restos indiens), la déco est belle, les sauces sont exquises. Je remercie le personnel qui est aux petits soins, les serveurs sont vraiment très gentils, professionnels et rapides. Les plats sont copieux. Les pains naan étaient trop croustillants à mon goût, je préfère quand ils sont tendres mais sinon belle expérience.",2025-01-05T15:59:24.524Z,0,"price,food,service",,,"C'était bon, les prix comme partout ailleurs (je parle des restos indiens), la déco est belle, les sauces sont exquises. Je remercie le personnel qui est aux petits soins, les serveurs sont vraiment très gentils, professionnels et rapides. Les plats sont copieux. Les pains naan étaient trop croustillants à mon goût, je préfère quand ils sont tendres mais sinon belle expérience."
