final_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent,raw_text
1,19132,tiktok,@helena,الزوالي يقدر يدخل هنا باش يشوف هذه المتعة و لا قصدي على ر,2026-01-02T18:16:28.398052,0,,,,الزوالي يقدر يدخل هنا باش يشوف هذه المتعة و لا قصدي على ر
2,41642,tiktok,@street_food,نديرو فالطاجين,2026-01-02T19:57:48.416289,1,,,,نديرو فالطاجين😁
3,34992,tiktok,@sinai,Vous cherchez quelqu’un travailler avec vous ?,2026-01-02T19:28:02.656670,0,,,,Vous cherchez quelqu’un travailler avec vous ?
4,45784,tiktok,@mister_n_alger,win exct f sabah,2026-01-02T20:17:49.648114,0,,,,win exct f sabah
5,10164,Facebook,"  Sultan Restaurants


",والله غير حجة مليحة,2025-12-01T11:51:12.000Z,0,unknown,,,والله غير حجة مليحة
6,62074,tiktok,@le.rooftop.annaba,top service,2026-01-02T21:27:47.356284,5,,,,top service 🫶
7,35312,tiktok,@sinai,j'arrive  vous êtes ou  [INTENSE],2026-01-02T19:28:08.587568,0,,,,j'arrive 😅 vous êtes ou ??
8,9007,Facebook,Restaurant Tabarka Annaba,قول صحن زيت مش صحن ملوخية,2025-12-25T19:21:23.000Z,2,unknown,,,قول صحن زيت مش صحن ملوخية 🤢
9,45446,tiktok,@budz,merci cousin les hommes chez les oranée bientôt à oran,2026-01-02T20:15:58.679459,0,,,,merci cousin les hommes chez les oranée bientôt à oran 🤲🤲🤲
10,53892,tiktok,@guellil._.tasnim,واين جاي المحل,2026-01-02T21:08:14.299344,0,,,,واين جاي المحل
11,5780,Google Maps,Casbah Istanbul القصبة اسطنبول,"Accueil : chaleureux et sympathique.
Décoration: C’est très jovial et original avec une très belle terrasse
Menu  : menu varié avec des prix abordables
Service : ça a pris un peu de temps car il y avait un peu de monde. Le serveur s’est trompé de viande or ça devait être à base de poulet.
Goût : Les plats étaient très bien présentés comme vous pouvez le voir sur les photos. Les plats étaient très consistants,c’était super succulent  [INTENSE]  On s’est régalé  [INTENSE] 
Dessert : On a pris des kunafas  c’était bon mais par contre elles étaient un peu dur sur les côtés.
Conclusion :Je reviendrai chez eux la prochaine fois Insha Allah
Je recommande fortement  [INTENSE]  C’était succulent sauf que le serveur s’est trompé de commande !",2020-03-15T21:27:47.933Z,2,"price,food,service",,,"Accueil : chaleureux et sympathique.
Décoration: C’est très jovial et original avec une très belle terrasse
Menu  : menu varié avec des prix abordables
Service : ça a pris un peu de temps car il y avait un peu de monde. Le serveur s’est trompé de viande or ça devait être à base de poulet.
Goût : Les plats étaient très bien présentés comme vous pouvez le voir sur les photos. Les plats étaient très consistants,c’était super succulent !! On s’est régalé !!
Dessert : On a pris des kunafas  c’était bon mais par contre elles étaient un peu dur sur les côtés.
Conclusion :Je reviendrai chez eux la prochaine fois Insha Allah
Je recommande fortement !! C’était succulent sauf que le serveur s’est trompé de commande !"
12,12412,Facebook,Restaurant Rais,Natalie Natalie rani dayrah fles commentaires,2025-10-13T10:37:43.000Z,0,unknown,,,Natalie Natalie rani dayrah fles commentaires
13,49518,tiktok,@kik.sfood21,هاه مريح للنظر,2026-01-02T20:41:13.847248,1,,,,هاه مريح للنظر
14,53552,tiktok,@thaisty_dz,السيد ابداها مع كول بلاش ربي يستر,2026-01-02T21:07:30.875949,0,,,,السيد ابداها مع كول بلاش ربي يستر
15,23528,tiktok,@jomane,C’est ou stp,2026-01-02T18:26:23.435929,0,,,,C’est ou stp
16,49010,tiktok,@le77tizi,Zineb la plus belle Mchalah,2026-01-02T20:39:02.990029,0,,,,Zineb la plus belle Mchalah ❤️
17,1568,instagram,pausa_oran,Les resto à oran gaa zebel,2025-08-27T14:23:50.000Z,0,unknown,,,Les resto à oran gaa zebel
18,18264,tiktok,@helena,يقبلو نخلصو بكارت الشيفا؟,2026-01-02T18:16:08.811094,124,,,,يقبلو نخلصو بكارت الشيفا؟
19,45082,tiktok,@budz,Jvais aller à Oran jpense hein,2026-01-02T20:15:48.052520,153,,,,Jvais aller à Oran jpense hein 🙏
20,7237,Google Maps,Restaurant À Petit Feu,J’ai été très mal reçu la personne à l’accueil m’a mal parlé,2024-10-24T12:03:11.813Z,0,treatment,,,J’ai été très mal reçu la personne à l’accueil m’a mal parlé
21,29234,tiktok,@elcuatro_burgers,وين في الشراقة,2026-01-02T18:49:33.685988,0,,,,وين في الشراقة
22,7445,Google Maps,Restaurant À Petit Feu,"Excellent restau sur Alger, accueil au top, personnels sympa, la bouff et bonne. La déco top et surtout hyper grand
Je recommande ce restaurant",2024-07-09T13:25:14.947Z,1,"food,service,treatment",,,"Excellent restau sur Alger, accueil au top, personnels sympa, la bouff et bonne. La déco top et surtout hyper grand
Je recommande ce restaurant "
23,725,instagram,cottoncandyblanc,غاليي وبنة زيرو,2025-06-20T19:31:01.000Z,3,unknown,,,غاليي وبنة زيرو
24,5208,Google Maps,قصبة اسطنبول,"Le restaurant Casbah Istanbul à Chéraga propose une cuisine savoureuse, bien préparée avec des saveurs turques authentiques, l’endroit est propre, bien décoré, et le service est généralement rapide, un vrai plus : le parking privé et gratuit, ce qui est rare dans le coin et vraiment pratique. Par contre, les prix sont assez élevés, et les portions servies ne sont pas très généreuses, surtout pour ce niveau de tarif. Une bonne adresse pour goûter des plats turcs.",2025-04-15T13:06:50.548Z,0,"price,food,service",,,"Le restaurant Casbah Istanbul à Chéraga propose une cuisine savoureuse, bien préparée avec des saveurs turques authentiques, l’endroit est propre, bien décoré, et le service est généralement rapide, un vrai plus : le parking privé et gratuit, ce qui est rare dans le coin et vraiment pratique. Par contre, les prix sont assez élevés, et les portions servies ne sont pas très généreuses, surtout pour ce niveau de tarif. Une bonne adresse pour goûter des plats turcs."
25,29448,tiktok,@elcuatro_burgers,فليل ابعتلي بعين البنيان,2026-01-02T18:49:40.371785,0,,,,فليل ابعتلي بعين البنيان
26,9016,Facebook,,Forevet Living kifkif 1h bach jaw chedo la commande brk,2025-10-20T18:13:30.000Z,0,unknown,,,Forevet Living kifkif 1h bach jaw chedo la commande brk
27,4581,Google Maps,هشام كوك بيتزا,صوص طوماط نتاع كول هنا وموت لهيه ارحم منها معندكم حتى علاقة بالبيتزا,2023-12-09T09:50:43.061Z,1,unknown,,,صوص طوماط نتاع كول هنا وموت لهيه ارحم منها معندكم حتى علاقة بالبيتزا
28,21830,tiktok,@maison_sardoudi,ouii c sympa comme restau,2026-01-02T18:22:33.434209,0,,,,ouii c sympa comme restau
29,31800,tiktok,@entracte,meilleurs restaurants Alger draria,2026-01-02T19:14:24.034718,6,,,,meilleurs restaurants Alger draria 😍😍
30,32624,tiktok,@seven.times,الاسعار في متناول لا أحد,2026-01-02T19:17:46.224033,0,,,,الاسعار في متناول لا أحد 😊
31,2962,Google Maps,HichamCook Grill House,prix exagéré,2022-03-20T22:44:00.558Z,15,price,,,prix exagéré
32,72370,tiktok,@pont_hydra,un délice moi je kiffff,2026-01-02T22:13:21.460820,1,,,,un délice moi je kiffff ❤️❤️❤️
33,25802,tiktok,@ofennec.officiel,j'ai mangé chez eux la dernière fois franchement un vrai régal la qualité de la viande est excellente et c'était très bon,2026-01-02T18:34:11.848409,16,,,,j'ai mangé chez eux la dernière fois franchement un vrai régal la qualité de la viande est excellente et c'était très bon 👌👌
